time,SMA
10/2/2017,79.347
9/29/2017,79.3235
9/28/2017,79.2925
9/27/2017,79.2702
9/26/2017,79.2813
9/25/2017,79.2787
9/22/2017,79.274
9/21/2017,79.3008
9/20/2017,79.3212
9/19/2017,79.3327
9/18/2017,79.3558
9/15/2017,79.3723
9/14/2017,79.3952
9/13/2017,79.4322
9/12/2017,79.482
9/11/2017,79.5485
9/8/2017,79.5987
9/7/2017,79.6528
9/6/2017,79.7183
9/5/2017,79.7875
9/1/2017,79.87
8/31/2017,79.9375
8/30/2017,80.0138
8/29/2017,80.099
8/28/2017,80.1602
8/25/2017,80.2107
8/24/2017,80.277
8/23/2017,80.3465
8/22/2017,80.4213
8/21/2017,80.5015
8/18/2017,80.591
8/17/2017,80.6852
8/16/2017,80.7905
8/15/2017,80.8708
8/14/2017,80.9357
8/11/2017,80.9943
8/10/2017,81.0573
8/9/2017,81.117
8/8/2017,81.1602
8/7/2017,81.2033
8/4/2017,81.2442
8/3/2017,81.2725
8/2/2017,81.3028
8/1/2017,81.341
7/31/2017,81.3718
7/28/2017,81.3985
7/27/2017,81.4502
7/26/2017,81.4705
7/25/2017,81.4987
7/24/2017,81.5217
7/21/2017,81.5448
7/20/2017,81.5662
7/19/2017,81.5807
7/18/2017,81.585
7/17/2017,81.5865
7/14/2017,81.589
7/13/2017,81.5758
7/12/2017,81.5772
7/11/2017,81.5875
7/10/2017,81.6057
7/7/2017,81.6525
7/6/2017,81.6962
7/5/2017,81.7463
7/3/2017,81.7782
6/30/2017,81.7933
6/29/2017,81.8233
6/28/2017,81.8512
6/27/2017,81.8602
6/26/2017,81.8752
6/23/2017,81.9162
6/22/2017,81.923
6/21/2017,81.9357
6/20/2017,81.9325
6/19/2017,81.9145
6/16/2017,81.8995
6/15/2017,81.8707
6/14/2017,81.8635
6/13/2017,81.8623
6/12/2017,81.8463
6/9/2017,81.832
6/8/2017,81.8298
6/7/2017,81.836
6/6/2017,81.8445
6/5/2017,81.8512
6/2/2017,81.877
6/1/2017,81.9025
5/31/2017,81.9328
5/30/2017,81.9717
5/26/2017,81.9943
5/25/2017,82.0235
5/24/2017,82.0447
5/23/2017,82.0285
5/22/2017,82.0112
5/19/2017,81.991
5/18/2017,81.9885
5/17/2017,81.9748
5/16/2017,81.9732
5/15/2017,81.96
5/12/2017,81.9517
5/11/2017,81.9618
5/10/2017,81.9653
5/9/2017,81.9835
5/8/2017,81.987
5/5/2017,81.9695
5/4/2017,81.9605
5/3/2017,81.9793
5/2/2017,81.9895
5/1/2017,82.0143
4/28/2017,82.0375
4/27/2017,82.059
4/26/2017,82.1028
4/25/2017,82.1605
4/24/2017,82.2235
4/21/2017,82.2983
4/20/2017,82.3758
4/19/2017,82.4438
4/18/2017,82.5185
4/17/2017,82.5992
4/13/2017,82.6517
4/12/2017,82.7282
4/11/2017,82.8013
4/10/2017,82.8598
4/7/2017,82.9133
4/6/2017,82.9808
4/5/2017,83.0295
4/4/2017,83.1047
4/3/2017,83.2068
3/31/2017,83.3148
3/30/2017,83.4462
3/29/2017,83.566
3/28/2017,83.7033
3/27/2017,83.8452
3/24/2017,83.996
3/23/2017,84.1547
3/22/2017,84.3022
3/21/2017,84.454
3/20/2017,84.5948
3/17/2017,84.7353
3/16/2017,84.8757
3/15/2017,85.0275
3/14/2017,85.1757
3/13/2017,85.3355
3/10/2017,85.5215
3/9/2017,85.6777
3/8/2017,85.7998
3/7/2017,85.9213
3/6/2017,86.0138
3/3/2017,86.0927
3/2/2017,86.1763
3/1/2017,86.2387
2/28/2017,86.309
2/27/2017,86.4087
2/24/2017,86.4813
2/23/2017,86.5712
2/22/2017,86.6602
2/21/2017,86.76
2/17/2017,86.8398
2/16/2017,86.9187
2/15/2017,86.9683
2/14/2017,87.0028
2/13/2017,87.0517
2/10/2017,87.1153
2/9/2017,87.1613
2/8/2017,87.2252
2/7/2017,87.318
2/6/2017,87.376
2/3/2017,87.4093
2/2/2017,87.4412
2/1/2017,87.4432
1/31/2017,87.4552
1/30/2017,87.4478
1/27/2017,87.4277
1/26/2017,87.3912
1/25/2017,87.3775
1/24/2017,87.4038
1/23/2017,87.4372
1/20/2017,87.4663
1/19/2017,87.4833
1/18/2017,87.5148
1/17/2017,87.5303
1/13/2017,87.5272
1/12/2017,87.5342
1/11/2017,87.5375
1/10/2017,87.533
1/9/2017,87.5435
1/6/2017,87.545
1/5/2017,87.5323
1/4/2017,87.5305
1/3/2017,87.478
12/30/2016,87.4138
12/29/2016,87.3595
12/28/2016,87.2912
12/27/2016,87.237
12/23/2016,87.1792
12/22/2016,87.1083
12/21/2016,87.0422
12/20/2016,86.9248
12/19/2016,86.802
12/16/2016,86.6858
12/15/2016,86.5585
12/14/2016,86.432
12/13/2016,86.298
12/12/2016,86.1522
12/9/2016,86.0363
12/8/2016,85.971
12/7/2016,85.909
12/6/2016,85.8613
12/5/2016,85.8568
12/2/2016,85.8462
12/1/2016,85.8797
11/30/2016,85.8963
11/29/2016,85.9175
11/28/2016,85.9428
11/25/2016,85.949
11/23/2016,85.9493
11/22/2016,85.9593
11/21/2016,85.9787
11/18/2016,85.9917
11/17/2016,86.028
11/16/2016,86.0745
11/15/2016,86.1073
11/14/2016,86.1268
11/11/2016,86.1688
11/10/2016,86.2228
11/9/2016,86.2405
11/8/2016,86.2683
11/7/2016,86.31
11/4/2016,86.35
11/3/2016,86.4025
11/2/2016,86.4483
11/1/2016,86.536
10/31/2016,86.6183
10/28/2016,86.689
10/27/2016,86.734
10/26/2016,86.7435
10/25/2016,86.7427
10/24/2016,86.7283
10/21/2016,86.7623
10/20/2016,86.822
10/19/2016,86.8837
10/18/2016,86.9563
10/17/2016,87.0468
10/14/2016,87.1713
10/13/2016,87.2932
10/12/2016,87.416
10/11/2016,87.5383
10/10/2016,87.6563
10/7/2016,87.7677
10/6/2016,87.9045
10/5/2016,88.0352
10/4/2016,88.1677
10/3/2016,88.295
9/30/2016,88.4032
9/29/2016,88.4978
9/28/2016,88.625
9/27/2016,88.727
9/26/2016,88.9037
9/23/2016,89.0817
9/22/2016,89.2318
9/21/2016,89.3547
9/20/2016,89.4473
9/19/2016,89.5615
9/16/2016,89.6943
9/15/2016,89.8133
9/14/2016,89.9208
9/13/2016,90.0295
9/12/2016,90.1213
9/9/2016,90.1868
9/8/2016,90.2422
9/7/2016,90.2652
9/6/2016,90.3043
9/2/2016,90.3278
9/1/2016,90.382
8/31/2016,90.4478
8/30/2016,90.5073
8/29/2016,90.5377
8/26/2016,90.5465
8/25/2016,90.5675
8/24/2016,90.5972
8/23/2016,90.6138
8/22/2016,90.652
8/19/2016,90.6822
8/18/2016,90.7232
8/17/2016,90.7358
8/16/2016,90.7607
8/15/2016,90.791
8/12/2016,90.8293
8/11/2016,90.8543
8/10/2016,90.9012
8/9/2016,90.9538
8/8/2016,90.953
8/5/2016,90.971
8/4/2016,90.9918
8/3/2016,91.0338
8/2/2016,91.0518
8/1/2016,91.0763
7/29/2016,91.1127
7/28/2016,91.0958
7/27/2016,91.061
7/26/2016,91.0313
7/25/2016,90.9792
7/22/2016,90.9097
7/21/2016,90.8172
7/20/2016,90.7135
7/19/2016,90.6035
7/18/2016,90.4878
7/15/2016,90.354
7/14/2016,90.2153
7/13/2016,90.0697
7/12/2016,89.918
7/11/2016,89.7517
7/8/2016,89.6107
7/7/2016,89.4655
7/6/2016,89.322
7/5/2016,89.1425
7/1/2016,88.979
6/30/2016,88.7878
6/29/2016,88.614
6/28/2016,88.4432
6/27/2016,88.314
6/24/2016,88.2157
6/23/2016,88.119
6/22/2016,87.9977
6/21/2016,87.887
6/20/2016,87.7652
6/17/2016,87.6462
6/16/2016,87.53
6/15/2016,87.4117
6/14/2016,87.3027
6/13/2016,87.1988
6/10/2016,87.0907
6/9/2016,86.9722
6/8/2016,86.8413
6/7/2016,86.7017
6/6/2016,86.5597
6/3/2016,86.4403
6/2/2016,86.3408
6/1/2016,86.2425
5/31/2016,86.1628
5/27/2016,86.0507
5/26/2016,85.9238
5/25/2016,85.8055
5/24/2016,85.6558
5/23/2016,85.4972
5/20/2016,85.3663
5/19/2016,85.2375
5/18/2016,85.0943
5/17/2016,84.959
5/16/2016,84.84
5/13/2016,84.7222
5/12/2016,84.6187
5/11/2016,84.4908
5/10/2016,84.3643
5/9/2016,84.2148
5/6/2016,84.0653
5/5/2016,83.9127
5/4/2016,83.78
5/3/2016,83.667
5/2/2016,83.5332
4/29/2016,83.3782
4/28/2016,83.2128
4/27/2016,82.9888
4/26/2016,82.786
4/25/2016,82.623
4/22/2016,82.4507
4/21/2016,82.2467
4/20/2016,82.0785
4/19/2016,81.8648
4/18/2016,81.7042
4/15/2016,81.5095
4/14/2016,81.313
4/13/2016,81.1625
4/12/2016,81.0417
4/11/2016,80.9545
4/8/2016,80.8267
4/7/2016,80.6932
4/6/2016,80.5485
4/5/2016,80.4048
4/4/2016,80.3052
4/1/2016,80.2103
3/31/2016,80.1297
3/30/2016,80.0275
3/29/2016,79.918
3/28/2016,79.811
3/24/2016,79.7267
3/23/2016,79.6393
3/22/2016,79.5657
3/21/2016,79.5002
3/18/2016,79.4007
3/17/2016,79.285
3/16/2016,79.1713
3/15/2016,79.0895
3/14/2016,79.0283
3/11/2016,78.9787
3/10/2016,78.876
3/9/2016,78.7453
3/8/2016,78.6335
3/7/2016,78.5168
3/4/2016,78.353
3/3/2016,78.2615
3/2/2016,78.2025
3/1/2016,78.131
2/29/2016,78.1022
2/26/2016,78.1312
2/25/2016,78.1297
2/24/2016,78.1167
2/23/2016,78.1122
2/22/2016,78.123
2/19/2016,78.0878
2/18/2016,78.0427
2/17/2016,78.0068
2/16/2016,77.9858
2/12/2016,77.9648
2/11/2016,77.9627
2/10/2016,77.9377
2/9/2016,77.9387
2/8/2016,77.9643
2/5/2016,77.9842
2/4/2016,78.0153
2/3/2016,78.0927
2/2/2016,78.1982
2/1/2016,78.388
1/29/2016,78.564
1/28/2016,78.6878
1/27/2016,78.7837
1/26/2016,78.8993
1/25/2016,78.9923
1/22/2016,79.1108
1/21/2016,79.1883
1/20/2016,79.3363
1/19/2016,79.4982
1/15/2016,79.5617
1/14/2016,79.6158
1/13/2016,79.647
1/12/2016,79.7608
1/11/2016,79.8655
1/8/2016,79.9733
1/7/2016,80.0478
1/6/2016,80.099
1/5/2016,80.1288
1/4/2016,80.1607
12/31/2015,80.1897
12/30/2015,80.1887
12/29/2015,80.167
12/28/2015,80.1123
12/24/2015,80.0343
12/23/2015,79.9513
12/22/2015,79.831
12/21/2015,79.7468
12/18/2015,79.6797
12/17/2015,79.6038
12/16/2015,79.5095
12/15/2015,79.4027
12/14/2015,79.302
12/11/2015,79.2462
12/10/2015,79.2482
12/9/2015,79.225
12/8/2015,79.1788
12/7/2015,79.1432
12/4/2015,79.0747
12/3/2015,78.969
12/2/2015,78.8622
12/1/2015,78.7613
11/30/2015,78.6042
11/27/2015,78.473
